repetition,model_id,model_label,method_id,method_label,metric_id,metric_label,unit,role,cluster_count,cases_per_cluster,mean,median,sample_standard_deviation,minimum,maximum
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,model_call_count,Model calls,calls,secondary_resource_outcome,30,5,1.0,1.0,0.0,1.0,1.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,output_tokens,Output tokens,tokens,secondary_resource_outcome,30,5,247.54,226.9,78.06637582520888,137.8,426.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,process_ram_peak_bytes,Process RAM peak (bytes),bytes,secondary_resource_outcome,30,5,1233849193.8133333,1235492044.8,9393556.793787673,1216635699.2,1253229363.2
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,8048869376.0,8069421465.6,117879576.6337083,7856770252.8,8220835840.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,temperature_peak_celsius,Temperature peak (C),degrees_celsius,resource_diagnostic,30,5,81.44666666666667,82.0,1.170538730474234,78.0,82.4
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,10084341514.24,10132953497.599998,242279351.6262775,9651237683.2,10428022784.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,gpu_board_energy_joules,GPU-board energy (J),joules,secondary_resource_outcome,30,5,3017.033733333333,2866.0604000000003,673.8486695982822,1961.9026,4360.227000000001
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,gpu_utilization_peak_percent,GPU utilization peak (%),percent,resource_diagnostic,30,5,99.2,100.0,2.483045960384002,91.0,100.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,input_tokens,Input tokens,tokens,secondary_resource_outcome,30,5,6085.233333333334,5031.6,2652.418641780435,2860.2,11752.8
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,method_case_duration_seconds,Duration (s),seconds,secondary_resource_outcome,30,5,16.617336969119787,15.30671811980137,3.8457283981602974,11.106255724601215,24.64498827320058
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,model_call_count,Model calls,calls,secondary_resource_outcome,30,5,2.0,2.0,0.0,2.0,2.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,output_tokens,Output tokens,tokens,secondary_resource_outcome,30,5,508.1933333333333,502.1,118.01529396309363,291.6,768.6
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,process_ram_peak_bytes,Process RAM peak (bytes),bytes,secondary_resource_outcome,30,5,1255438827.52,1255370342.4,14382928.17458525,1229334937.6,1283255500.8
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M3_stage_wise,M3 stage-wise,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,9603110666.24,9651722649.599998,242279351.6262775,9170006835.2,9946791936.0
